PULid	sig_gene_seq	low_level_substr	high_level_substr	Pub_year	degrad_biosyn
PUL0208	GH18,AA10|CBM5|CBM5,GH18|CBM5|CBM5	chitin	chitin	2019	degradation
PUL0209	LacI,1.B.3,GH42,GH53,3.A.1,3.A.1,3.A.1,3.A.1	galactan	galactan	2007	degradation
PUL0210	PL8,PfkB,GH88,4.A.6,4.A.6,4.A.6,4.A.6,PL12_1	N-glycan	N-glycan	2015	degradation
PUL0211	1.B.14,GH29,GH18,GH20,GH2,GH3,GH125,GH92,GH35	N-glycan	N-glycan	2015,2014	degradation
PUL0212	3.A.3,GH2,9.B.36,LacI,SBP_bac_1,3.A.1,3.A.1	galactooligosaccharide	galactan	2015	degradation
PUL0213	2.A.2,GH2,LacI,HTH_AraC	galactooligosaccharide	galactan	2015	degradation
PUL0214	LacI,GH42,GH35,3.A.1,3.A.1,SBP_bac_1,3.A.1	galactooligosaccharide	galactan	2015	degradation
PUL0215	GH31,GH35,1.B.14,GH95	xyloglucan	xyloglucan	2014	degradation
PUL0216	peroxidase,PL5|PL7,LacI,3.A.1,3.A.1,3.A.1,3.A.1,3.A.1,PL15_1	alginate	algal glycans	2014	degradation
PUL0217	GH130,3.A.1,3.A.1,3.A.1,LacI,GH5_36	galactomannan,glucomannan,glucose,mannose	multiple_substrates	2014	degradation
PUL0218	GH51,GH146|GH97,NUDIX,2.A.21,GH43_4,1.B.14,1.B.14,HTH_AraC,GH43_4,GH51|GH43_29,AAA	arabinose,arabinan	multiple_substrates	2015	degradation
PUL0219	4.A.6,GH32	fructooligosaccharide,fructan	multiple_substrates	2007	degradation
PUL0220	GH30_1,GH17,GH3,GH149,GH16,8.A.46,1.B.14	laminarin	algal glycans	2015	degradation
PUL0221	GH35,GH105,1.B.14	cellulose	cellulose	2013	degradation
PUL0222	GH5_7,GH26,8.A.46,1.B.14	cellulose	cellulose	2013	degradation
PUL0223	GH92,GH130,GH163,8.A.46,1.B.14	N-glycan	N-glycan	2013	degradation
PUL0224	9.B.33,HTH_AraC,GH43_16|CBM6,GH10|CBM6,GH43_29|CBM6,CE1|CBM6,GH43_10|CBM6,GH62|CBM6,GH43_29|CBM6,GH146|CBM22,GH27|CBM6,GH59|CBM6,GH2|CBM6,GH62|CBM6|CE6,GH95|CBM32|CBM6,GH30_8|CBM6	cellulose	cellulose	2013	degradation
PUL0225	HTH_8,GH16,GH117|GH117,GH2,GH2,2.A.1,GH50,GH105|GH154,GH16,GH86,GH86,1.B.14,HTH_AraC,GH29,GH16,1.B.14,GH2	porphyran	algal glycans	2012	degradation
PUL0226	1.B.18,8.A.3,9.B.18,9.B.30,9.B.97,9.B.97,GT4,GT94,2.A.66,GT70,GT26	xanthan	exopolysaccharide	2013	biosynthesis
PUL0227	GH67,GH3,8.A.59,HTH_AraC,3.A.1	xylan	xylan	2012	degradation
PUL0228	GH43_4,1.B.14,1.B.14,HTH_AraC,GH43_4,GH51,GH43_29	arabinan	galactan	2012,2011	degradation
PUL0229	HTH_AraC,8.A.59,3.A.1,3.A.1,3.A.1,GH67,GH10,GH43_12	aldouronate	-	2007	degradation
PUL0230	3.A.1,3.A.1,3.A.1,3.A.1,HTH_12,GH65,CBM34|GH13_20,8.A.9,LacI	maltooligosaccharide	alpha-glucan	2012,2020	degradation
PUL0231	GH1	beta-glucoside	mono/di/trisaccharide	2012	degradation
PUL0232	3.A.1,3.A.1,3.A.1,GH36	raffinose	mono/di/trisaccharide	2014	degradation
PUL0233	GH36,8.A.9,3.A.1,3.A.1,SBP_bac_1	melezitose	mono/di/trisaccharide	2014	degradation
PUL0234	GerE,1.B.14,8.A.46,GH16,GH3,GH16	laminarin	algal glycans	2014	degradation
PUL0235	PL7_5,PL6|PL6_1,PL7_5,PL17_2|PL17,AraC_binding,1.B.14,PL7,PL7,GntR,2.A.1,PfkB,LacI	alginate	algal glycans	2014	degradation
PUL0236	GH13,GH13_36,GH65,2.A.2,LacI,1.B.14,GH13_7	alpha-glucan	alpha-glucan	2014	degradation
PUL0237	HTH_3,4.D.1,2.A.50,PL5	exopolysaccharide	exopolysaccharide	2014	biosynthesis
PUL0238	4.A.3,4.A.3,4.A.3,8.A.49,GntR,GH26	glucomannan	beta-mannan	2008	degradation
PUL0239	GH26|GH5_4,GH5_7,1.B.14,HTH_AraC,2.A.2,GH130,GH26,CE7,GH36,GH3	cellulose	cellulose	2014	degradation
PUL0240	GH31,GH9,GH26,1.B.14	cellulose	cellulose	2014	degradation
PUL0241	1.B.14,GH5_4,HTH_AraC,GH36	cellulose	cellulose	2014	degradation
PUL0242	GH31,GH5_4,GH26,1.B.14	cellulose	cellulose	2014	degradation
PUL0243	HTH_AraC,GH5_38,GH94,2.A.2,1.B.14,8.A.46,GH36	cellulose	cellulose	2014	degradation
PUL0244	GH20,GH33,8.A.46,1.B.14,2.A.1	sialic acid	mono/di/trisaccharide	2014	degradation
PUL0245	GH98|CBM47|CBM47|CBM47,GH95,4.A.6,4.A.6,4.A.6,4.A.6,HTH_DeoR	fucose	mono/di/trisaccharide	2014	degradation
PUL0246	CBM51|CBM51|GH98,GH36,GH36,GH29,3.A.1,3.A.1,3.A.1,HTH_DeoR	fucose	mono/di/trisaccharide	2014	degradation
PUL0247	1.B.18,8.A.3,GT4,9.B.18,GT4,9.B.18,9.B.18	capsule polysaccharide	capsule polysaccharide	2013,2006	degradation
PUL0248	9.B.18,9.B.18,PL12_3,8.A.3,1.B.18	capsule polysaccharide	capsule polysaccharide	2013	degradation
PUL0249	SBP_bac_1,3.A.1,3.A.1,GH105,HTH_AraC,CE12,9.B.28,PL11,PL11,CE12,GH42	rhamnogalacturonan	pectin	2007	degradation
PUL0250	1.B.18,8.A.3,GT4,GT4,NUDIX,PL12,GT4,9.B.18,9.B.18	capsule polysaccharide	capsule polysaccharide	2013	degradation
PUL0251	CBM32,1.B.14,cNMP_binding	host glycan	host glycan	2014	degradation
PUL0252	CBM32,1.B.14,GH29,HTH_AraC	mucin,O-glycan	multiple_substrates	2014	degradation
PUL0253	Fer4,GT2,GT2,GT101,GT2,GT2,GT4,GT4,8.A.3,GH27	capsule polysaccharide	capsule polysaccharide	2014	degradation
PUL0254	9.B.18,9.B.18,Fer4,GT4,GT4,1.B.18,8.A.3	capsule polysaccharide	capsule polysaccharide	2014	degradation
PUL0255	Fer4,SIS,GT2,9.B.18,1.B.18,8.A.3	capsule polysaccharide	capsule polysaccharide	2014	degradation
PUL0256	9.B.18,GT4,GT94,9.B.18,1.B.18	capsule polysaccharide	capsule polysaccharide	2014	degradation
PUL0257	Pyr_redox,GT4,GT2,GT4,GT2	capsule polysaccharide	capsule polysaccharide	2014	degradation
PUL0258	9.B.18,GT2,GT2,GT2,GT25,2.A.66	capsule polysaccharide	capsule polysaccharide	2014	degradation
PUL0259	GerE,9.B.18,CbiA,GT4,PL15,GT4,AraC_binding	exopolysaccharide	exopolysaccharide	2008	biosynthesis
PUL0260	GT4	capsule polysaccharide	capsule polysaccharide	2014	degradation
PUL0261	8.A.3,GT4,GT4,GT4,GT2,GT14,GT14,GT32,GT8,GT2,GT2,2.A.66	capsule polysaccharide	capsule polysaccharide	2014	degradation
PUL0262	1.B.14,GH10,GH10,GH5_21,CE1,CE6|GH95,GH8,HTH_AraC	xylan,arabinoxylan	multiple_substrates	2013	degradation
PUL0263	GH10,1.B.14,HTH_AraC	xylan,arabinoxylan	multiple_substrates	2013,2019	degradation
PUL0264	GH16,HTH_18,1.B.14,GntR,GntR,2.A.1,GH16	carrageenan	algal glycans	2019	degradation
PUL0265	LacI|Peripla_BP_1|Peripla_BP_3,GH13_31	maltose,maltotriose	multiple_substrates	1995	degradation
PUL0266	HTH_5,3.A.1,3.A.1,3.A.1,3.A.1,GH42,GH36,PfkB	lactose	mono/di/trisaccharide	2013	degradation
PUL0267	Pyr_redox_2,CBM48|GH13_9,GT5,GT35,GH13_39,3.A.1	glycogen	alpha-glucan	2013	biosynthesis
PUL0268	3.A.1,3.A.1,3.A.1,GH13_1,Peripla_BP_3|LacI	starch	alpha-glucan	2013	degradation
PUL0269	3.A.1,PIG-L,GH3,3.A.1,3.A.1,SBP_bac_1,HTH_5,CBM5,GH18,CBM5|GH18	chitin	chitin	2014	degradation
PUL0270	2.A.38,GT4,CE4,9.B.42,1.B.66,1.B.18	exopolysaccharide,lipopolysaccharide	multiple_substrates	2008	biosynthesis
PUL0271	GH30_1,GH42,2.A.1,TetR_N	gentiobiose	mono/di/trisaccharide	2013	degradation
PUL0272	2.A.2,GH2,LacI	beta-galactooligosaccharide	galactan	2013	degradation
PUL0273	3.A.1,GH42,3.A.1,3.A.1,LacI	beta-galactooligosaccharide	galactan	2013	degradation
PUL0274	GH43_12,LacI,SBP_bac_1,3.A.1,3.A.1,GH43_11,GH43_10,HTH_IclR	xylobiose,xylooligosaccharide	multiple_substrates	2013	degradation
PUL0275	8.A.9,GH77,9.B.28,3.A.1,3.A.1,LacI,3.A.1,8.A.9	maltotriose	alpha-glucan	2013	degradation
PUL0276	8.A.9,GH36,3.A.1,3.A.1,SBP_bac_1,GH36	isomaltose,panose,raffinose,stachyose,melibiose	multiple_substrates	2013	degradation
PUL0277	4.A.1,GH32,LacI	fructooligosaccharide	fructan	2013	degradation
PUL0278	GH32,3.A.1,3.A.1,3.A.1,LacI,Mga|HTH_Mga|PRD_Mga	fructooligosaccharide	fructan	2013	degradation
PUL0279	GH32,3.A.1,3.A.1,3.A.1,LacI,Mga|HTH_Mga|PRD_Mga	fructooligosaccharide	fructan	2013	degradation
PUL0280	8.A.3,8.A.3,9.B.18,GT4,GT4,GT2,GT2,GT2	capsule polysaccharide	capsule polysaccharide	2012	biosynthesis
PUL0281	TPR_2,GT2,9.B.142,4.D.2,GT4,GT4	exopolysaccharide,lipopolysaccharide,capsule polysaccharide	multiple_substrates	2008	biosynthesis
PUL0282	1.B.52,LacI,3.A.1,3.A.1,3.A.1,GH42	galactan	galactan	2013	degradation
PUL0283	3.A.1,3.A.1,3.A.1,GH42,LacI,GH53|CBM61	galactooligosaccharide	galactan	2013	degradation
PUL0284	2.A.2,GH2,LacI	galactooligosaccharide	galactan	2013	degradation
PUL0285	LacI,3.A.1,3.A.1,GH42,3.A.1	galactooligosaccharide	galactan	2013	degradation
PUL0286	Aminotran_1_2,GT2,GT4,GT2,1.B.18,8.A.3	O-antigen	O-antigen	2012	biosynthesis
PUL0287	MarR,4.A.3,4.A.3,GH1,4.A.3	unknown polysaccharide	-	2012	degradation
PUL0288	GT2	capsule polysaccharide,heparosan	multiple_substrates	2012	biosynthesis
PUL0289	1.B.14,HTH_AraC,GH97,GH3,GH43_10,GH146,GH115,CE6|CE1,GH43_12,1.B.14	xylan	xylan	2018	degradation
PUL0290	GT4,GT4,4.D.1	O-antigen	O-antigen	2018	degradation
PUL0291	1.B.35,2.A.2,2.A.2,GH31,PfkB,HTH_DeoR	lactose	mono/di/trisaccharide	2018	degradation
PUL0292	GH16,GH3,SIS,GntR,1.A.30,1.A.30,1.B.14	chitin	chitin	2008	degradation
PUL0294	GH120,GH43_12,GH43_11,3.A.1,3.A.1,3.A.1,LacI	xylooligosaccharide	xylan	2018	degradation
PUL0295	2.A.3,GH43_22|GH43_34,GH43_22|GH43_26,GH43_27,GH43_22,GH43_22,9.B.28	arabinan	galactan	2018	degradation
PUL0296	2.A.3,HTH_5,GH43_22,9.B.28	arabinan	galactan	2018	degradation
PUL0297	SBP_bac_1,3.A.1,3.A.1,GH42,LacI,GH53|CBM61	galactan	galactan	2018	degradation
PUL0298	SBP_bac_1,3.A.1,3.A.1,GH42,LacI,2.A.2	galactan	galactan	2018	degradation
PUL0299	LacI,3.A.1,3.A.1,SBP_bac_1,GH29,GH95	fucosyllactose	human milk oligosaccharide	2018	degradation
PUL0300	3.A.1,3.A.1,SBP_bac_1,GH43_26,LacI,GH43_27,GH43_4,GH43_4,GH51,3.A.1	arabinoxylan	xylan	2018	degradation
PUL0301	GT32,GT2,GT2	O-antigen	O-antigen	2018	biosynthesis
PUL0302	GH51,GH146,NUDIX,2.A.21,GH43_4,1.B.14,1.B.14,HTH_AraC,GH43_4,GH51,GH43_29	arabinan	galactan	2018	degradation
PUL0303	SBP_bac_1,3.A.1,3.A.1,3.A.1,CE9	chitin	chitin	2008	degradation
PUL0304	GH2,GH53,8.A.46,1.B.14,HTH_AraC	galactan	galactan	2018	degradation
PUL0305	GH105,CE8,CE12|CE8,HTH_AraC,1.B.14,PL1_2,PL1_2,9.B.116,LytTR,PL1_2,1.B.14,GH28,HTH_AraC	homogalacturonan	pectin	2018	degradation
PUL0306	GH2,GH53,8.A.46,1.B.14,GH147,HTH_AraC	galactan	galactan	2018	degradation
PUL0307	1.E.2,1.E.2,GH18,HTH_1,AA10	chitin	chitin	2018,1996	degradation
PUL0308	GH16,1.B.14,8.A.46,GH3	beta-glucan	beta-glucan 	2017,2011,2020	degradation
PUL0309	SBP_bac_3,3.A.1,3.A.1,GH43_4,GH127,GH51,GH27,GH51,3.A.1,3.A.1,3.A.1,GH146	arabinan	galactan	2017	degradation
PUL0310	CBM4,1.B.14,1.B.14	laminarin	algal glycans	2017	degradation
PUL0311	GT2,4.D.3,GH8,1.B.55	cellulose	cellulose	2019	degradation
PUL0312	GH68,GH32	sucrose	mono/di/trisaccharide	2009	degradation
PUL0313	PL6|PL6_1,PL7_5,PL6|PL6_1	alginate	algal glycans	2017,2020	degradation
PUL0314	GT2	laminarin,alginate	multiple_substrates	2017	degradation
PUL0315	1.B.14,GH16	agar,porphyran	multiple_substrates	2017	degradation
PUL0316	GH2,GH117|GH117,HTH_AraC,GerE,1.B.14	agar,porphyran	multiple_substrates	2017	degradation
PUL0317	GH16	agar,porphyran	multiple_substrates	2017	degradation
PUL0318	TetR_N,GH16|CBM16	carrageenan	algal glycans	2017	degradation
PUL0319	TPR_1,GH5_42	carrageenan	algal glycans	2017	degradation
PUL0320	PL11|CBM3,CBM66|PL3_1,CBM66|PL9_1,HTH_AraC,GH10|CBM3|CBM3|GH48,GH5_8|CBM3|CBM3|GH44,GH74|GH74|GH74|GH74|CBM3|CBM3|GH48,GT39,GH9|CBM3|CBM3|CBM3|GH5_8,GH5_8|CBM3|CBM3|CBM3|GH5_1,GH9|CBM3|CBM3|CBM3|GH48	glucan	-	2018,2018	degradation
PUL0321	GH1,1.B.3,4.A.3,4.A.3,4.A.3,GntR	beta-glucoside	mono/di/trisaccharide	2009	degradation
PUL0322	PL11|CBM3,CBM66|PL3_1,CBM66|PL9_1,CBM66|PL9_1,CBM66|PL9_1,HTH_AraC,GH74|GH74|GH74|GH74|CBM3|CBM3|GH48,GT39,GH9|CBM3|CBM3|CBM3|GH5_8,CBM22|CBM22|GH10|CBM3|CBM3|GH5_1,GH10|CBM3|GH12|GH48,GH5_8|CBM3|CBM3|GH44,GH9|CBM3|CBM3|CBM3|GH48	glucan	-	2018	degradation
PUL0323	GH53,GH42,3.A.1,3.A.1,3.A.1,LacI|Peripla_BP_3	galactan	galactan	2017	degradation
PUL0324	1.B.18,8.A.3,CBS,GT4,GT4,9.B.18	capsule polysaccharide	capsule polysaccharide	2017	biosynthesis
PUL0325	1.B.14,GH30_3,GH3	beta-glucan	beta-glucan 	2017	degradation
PUL0326	GH73,Peptidase_M23,9.B.154	beta-glucan	beta-glucan 	2017	degradation
PUL0327	8.A.9,CBM34|GH13_20,3.A.1,3.A.1,3.A.1	maltodextrin	alpha-glucan	2017,2020	degradation
PUL0328	GH127,GH43_26,GH2,GH5_13,1.B.14	xylan	xylan	2017	degradation
PUL0329	GH43_10,GH43_12,GH43_1,1.B.14,LacI,GH3,GH67,GH10,GH115,CE15,2.A.21	xylan	xylan	2017	degradation
PUL0330	1.B.14,8.A.46,CE8,PL9_1,PfkB,2.A.56,2.A.56,2.A.56,LacI,GH28,GH105,GH43_10,GH28|PL9_1,CE12,CE10|CE8,CE12,PL10_1	pectin	pectin	2017	degradation
PUL0331	4.A.3,4.A.3,GH1,4.A.3,LacI|Peripla_BP_3	cellobiose	mono/di/trisaccharide	2008	degradation
PUL0332	GH5_2,GH5_7,CE7,HTH_AraC,GH2,GH94,8.A.5,GH97,8.A.46,1.B.14,GH127,GH127	carboxymethylcellulose,xylan,beta-glucan,lichenan	multiple_substrates	2017	degradation
PUL0333	PALP,3.A.1,GH9,1.B.14,GH31,HTH_AraC,GH9	carboxymethylcellulose,xylan,beta-glucan,lichenan	multiple_substrates	2017	degradation
PUL0334	GH9,1.B.14,GH31,HTH_AraC,GH9,GH9,ATPase_2,CE4,HATPase_c,GerE	carboxymethylcellulose,xylan,beta-glucan,lichenan	multiple_substrates	2017	degradation
PUL0335	HTH_8,Glyoxalase,3.B.1,3.B.1,3.B.1,TPR_1,GH13,Pribosyltran,HTH_AraC,Fer4,GH97,1.A.43,GH3,GH158,GH16	xylan,beta-glucan,lichenan	multiple_substrates	2017	degradation
PUL0336	1.A.43,GH3,GH158,GH16,1.B.14,GerE,4.D.2,2.A.107,2.A.7,TPR_2,HTH_AraC,2.A.1	xylan,beta-glucan,lichenan	multiple_substrates	2017	degradation
PUL0337	Aminotran_1_2,GerE,2.A.35,2.A.1,HTH_AraC,TPR_2,2.A.7,2.A.107,4.D.2,GerE,1.B.14,GH16,GH158,GH3	xylan,beta-glucan,lichenan	multiple_substrates	2017	degradation
PUL0338	2.A.1,HTH_AraC,TPR_2,2.A.7,2.A.107,4.D.2,GerE,1.B.14,GH16,GH158,GH3,1.A.43,GH97,Fer4,HTH_AraC,Pribosyltran	xylan,beta-glucan,lichenan	multiple_substrates	2017	degradation
PUL0339	GH97,1.A.43,GH3,GH16,1.B.14,GH20,Pyr_redox_2,3.A.12	xylan,beta-glucan,lichenan	multiple_substrates	2017	degradation
PUL0340	HTH_psq,GH5_2,3.A.3,HMA,Aminotran_1_2,HTH_3,Trans_reg_C,HisKA|HATPase_c,MerR,Sigma70_r4_2,HTH_3,HTH_3,HTH_3	carboxymethylcellulose,xylan,beta-glucan,lichenan	multiple_substrates	2017	degradation
PUL0341	GH32,GH91,3.A.1,3.A.1,SBP_bac_1,LacI,3.A.1,TrmB,2.A.115,HTH_psq,GH5_2,3.A.3,HMA,3.A.7	carboxymethylcellulose,xylan,beta-glucan,lichenan	multiple_substrates	2017	degradation
PUL0342	GH10|CE1,GH95,GH3,SBP_bac_1,HTH_AraC	xylan	xylan	2009	degradation
PUL0343	3.A.7,HMA,3.A.3,GH5_2,HTH_psq,2.A.115,TrmB,3.A.1,LacI,SBP_bac_1,3.A.1,3.A.1	carboxymethylcellulose,xylan,beta-glucan,lichenan	multiple_substrates	2017	degradation
PUL0344	GH18|GH18,GH20,PIG-L,8.A.46,1.B.14,GH18,8.A.46,1.B.14,LytTR,2.A.1	chitin	chitin	2016,2020	degradation
PUL0345	HTH_AraC,1.B.14,GH10,GH35,2.A.2,GH10|GH43_12,GH43_1,GH67,GH8,CE6|GH95,CE1,GH5_21,GH10,1.B.14,GH115	xylan	xylan	2016	degradation
PUL0346	GH43_29,HTH_AraC,1.B.14,GH43_12,GH43_1,GH10,2.A.2,GH16	xylooligosaccharide	xylan	2016	degradation
PUL0347	HTH_AraC,2.A.1,MarR,Glyoxalase,2.A.1,GH13_11	sorbitol	-	2014	degradation 
PUL0348	GH33,GH20,GH2,GH20|CBM32,GH20,GH92,GH2,1.B.14,GH2	sialoglycoconjugate	mono/di/trisaccharide	2012	degradation 
PUL0349	GH4,GntR,4.A.1	sucrose	mono/di/trisaccharide	2012	degradation 
PUL0350	9.B.146,Pyr_redox,GT4,GT2,GT4,GT2	capsule polysaccharide	capsule polysaccharide	2006	biosynthesis
PUL0351	2.A.1,GH32,LacI	sucrose	mono/di/trisaccharide	1992	degradation
PUL0352	GerE,FecR,1.B.14,GH20	arabinan,xylan,levan,pectin,rhamnogalacturonan	multiple_substrates	2006	degradation
PUL0353	1.B.14,8.A.46,GH0,GH92,GH92,FecR,GerE	arabinan,xylan,levan,pectin,rhamnogalacturonan	multiple_substrates	2006,2020	degradation
PUL0354	GH93,1.B.14,GH43_31,HTH_AraC,GH43_31	lactose,host glycan	multiple_substrates	2006	degradation
PUL0355	GH30_4,1.B.14,HTH_AraC,GH18	lactose,host glycan	multiple_substrates	2006	degradation
PUL0356	Sigma70_r4_2|Sigma70_r2,FecR,1.B.14,8.A.46,GH18	lactose,host glycan	multiple_substrates	2006	degradation
PUL0357	CBM32,1.B.14	arabinan,xylan,levan,pectin,rhamnogalacturonan	multiple_substrates	2006	degradation
PUL0358	GH35,GH43_19,GH43_9|GH43_19,GH51	lactose,host glycan	multiple_substrates	2006	degradation
PUL0359	GH43_10,GH97,GH29,HTH_AraC	lactose,host glycan	multiple_substrates	2006	degradation
PUL0360	GH2,GH53,8.A.46,1.B.14	lactose,host glycan	multiple_substrates	2006	degradation
PUL0361	8.A.9,3.A.1,3.A.1,3.A.1,GH13_20,GH4	starch,maltodextrin	multiple_substrates	2000	degradation
PUL0362	LacI,2.A.2,GH13_4	sucrose	mono/di/trisaccharide	2007	degradation
PUL0363	1.B.14,CE8,PL10_1	pectin	pectin	2007	degradation
PUL0364	GH10,GH2,GH10,2.A.1,2.A.2,GH43_1	xylan	xylan	2007	degradation
PUL0365	LacI,GH13_2,2.A.2,GH97,1.B.14,8.A.9	maltodextrin	alpha-glucan	2007	degradation
PUL0366	HTH_DeoR,4.A.6,4.A.6,4.A.6,4.A.6,CE9,SIS,4.A.6,4.A.6,4.A.6	N-acetyl-D-galactosamine,d-galactosamine	multiple_substrates	2000	degradation
PUL0367	GH42,3.A.1,3.A.1	galactooligosaccharide	galactan	2008	degradation
PUL0368	2.A.2,GH2,GH95,GH29,9.B.28,3.A.1,3.A.1,SBP_bac_1,3.A.1,3.A.1,SBP_bac_1,GH33,SBP_bac_1,SBP_bac_1,SBP_bac_1,SBP_bac_1,GH20,SBP_bac_1,3.A.1,3.A.1,3.A.1	human milk oligosaccharide	human milk oligosaccharide	2008	degradation
PUL0369	4.A.6,4.A.6,4.A.6,GH88,4.A.6,PfkB,Nitroreductase	unsaturated hyaluronate disaccharide,chondroitin disaccharide	multiple_substrates	2009	degradation
PUL0370	GH1,4.A.1	beta-glucoside	mono/di/trisaccharide	2009	degradation
PUL0371	GH13_20,8.A.9,3.A.1,3.A.1,3.A.1	cyclomaltodextrin	alpha-glucan	2001	degradation
PUL0372	GH1,4.A.1	beta-glucoside	mono/di/trisaccharide	2009	degradation
PUL0373	LacI,GH32,4.A.1,1.B.3,PfkB	sucrose	mono/di/trisaccharide	2009	degradation
PUL0374	LacI,GH36,2.A.1	melibiose	mono/di/trisaccharide	2009	degradation
PUL0375	HTH_8,HATPase_c|Response_reg|HisKA,GH97,GH67,GH76,1.B.14,HTH_AraC,GH92,GH76,GH125	alpha-mannan	alpha-mannan	2008	degradation
PUL0376	1.B.14,1.B.14,GH16,GH18,HTH_AraC	mucin,O-glycan	multiple_substrates	2008	degradation
PUL0377	PL8_2,PL29,8.A.46,1.B.14,HTH_AraC,2.A.6,2.A.6,2.A.6,GH2,1.B.14,GH88,PL8_2	glycosaminoglycan	glycosaminoglycan	2008	degradation
PUL0378	GH92,GH38|CBM32,GT32,GT32,GH130,GH125,GH76,GH92,HTH_AraC,1.B.14,GH76	alpha-mannan	alpha-mannan	2008	degradation
PUL0379	1.B.14,GH92,GH99	alpha-mannan	alpha-mannan	2008	degradation
PUL0380	1.B.14,8.A.46,GH0,GH92,GH92,FecR,GerE,GH92	mucin,O-glycan	multiple_substrates	2008	degradation
PUL0381	CE4,4.A.3,4.A.3,4.A.3,GH4	chitin	chitin	2004	degradation
PUL0382	GH2,2.A.115,GH109,1.B.14,FecR,Sigma70_r4_2	mucin,O-glycan	multiple_substrates	2008	degradation
PUL0383	GerE,FecR,1.B.14,GH89	mucin,O-glycan	multiple_substrates	2008	degradation
PUL0384	PL15_2,2.A.1,PL12_2,GH88,8.A.46,1.B.14,PL12_2,HTH_AraC	glycosaminoglycan	glycosaminoglycan	2008	degradation
PUL0385	GH48,GH8,GH9|CBM3,CBM4|GH9,GH9,GH9|CBM3,GH5_17,GH9,PL11,GH5_1	cellulose	cellulose	2010	degradation
PUL0386	GH43_16|CBM6,GH10|CBM6,GH43_29|CBM6,CE1|CBM6,GH43_10|CBM6,GH62|CBM6,GH43_29|CBM6,GH146|CBM22,GH27|CBM6,GH59|CBM6,GH2|CBM6	hemicellulose	hemicellulose	2010	degradation
PUL0387	1.B.14,CE9,SIS,LacI,2.A.1,GntR	N-acetylglucosamine	glycosaminoglycan	2010	degradation
PUL0388	GT4,GT4,Pyr_redox,GT2	O-antigen	O-antigen	2011	biosynthesis
PUL0389	GT4,GT4,GT2	O-antigen	O-antigen	2011	biosynthesis
PUL0390	GH67,3.A.1,3.A.1,3.A.1,3.A.1,3.A.1,CBM22|CBM22|GH10|CBM9|CBM9,HTH_11,PfkB,GH10,3.A.1,3.A.1,3.A.1,3.A.1,3.A.1,GH3,CE7,3.A.1	acetylated glucuronoxylan	xylan	2010	degradation
PUL0391	PL11|CBM3,CBM66|PL3_1,CBM66|PL9_1,HTH_18,GH10|CBM3|CBM3|GH48,GH5_8|CBM3|CBM3|GH44,GH74|GH74|GH74|GH74|CBM3|CBM3|GH48,GT39,GH9|CBM3|CBM3|CBM3|GH5_8,GH5_8|CBM3|CBM3|CBM3|GH5_1,GH9|CBM3|CBM3|CBM3|GH48	cellulose,xylan,xyloglucan,pectin,mannan	multiple_substrates	2011	degradation
PUL0392	8.A.46,1.B.14,Sigma70_r2|Sigma70_r4_2,GH67,2.A.2,GH13_14	xylan	xylan	2016	degradation
PUL0393	CBM6|GH86|GH86,1.B.14,GH16|CBM6	galactan	galactan	2011	degradation
PUL0394	LacI,3.A.1,3.A.1,GH32,PfkB	fructan,inulin	multiple_substrates	2011	degradation
PUL0395	3.A.1,8.A.59,HTH_18|Response_reg,3.A.1,3.A.1,3.A.1,GntR|Peripla_BP_3,GH43_5,SBP_bac_1,3.A.1,3.A.1,GH43_4,GH51,GH51,GH127	arabinose,arabinan	multiple_substrates	2011	degradation
PUL0396	GntR,4.A.1,4.A.1,1.B.1,CE9,SIS	N-acetylglucosamine	glycosaminoglycan	2011	degradation
PUL0397	1.B.14,8.A.46	N-acetylglucosamine	glycosaminoglycan	2011	degradation 
PUL0398	1.B.14,GH2	N-acetylglucosamine	glycosaminoglycan	2011	degradation 
PUL0399	GH42,2.A.2,LacI,GH2	beta-galactooligosaccharide	galactan	2011	degradation 
PUL0400	PL6|PL6_1,PL17_2|PL17,AraC_binding,2.A.1,PfkB,GntR,CBM32|PL7_5,1.B.14,PL6_3,PL7_5	alginate	algal glycans	2015,2019	degradation
PUL0401	GH16,1.B.14,9.B.34,2.A.35,GH3,2.A.1,8.A.49,LacI,2.A.1	laminarin	algal glycans	2019	degradation
PUL0402	GH43_11,2.A.2,HTH_AraC	xylan,xylose	multiple_substrates	2001	degradation
PUL0403	1.B.14,GH1,2.A.2,LacI|Peripla_BP_3	laminarin	algal glycans	2019	degradation
PUL0404	2.A.56,2.A.56,2.A.56,LacI,PfkB,CE12,1.B.14,GH105,GH28,CE8	pectin	pectin	2019	degradation
PUL0405	TrmB,PL1_2,PL1_5|PL1_5	pectin	pectin	2019	degradation
PUL0406	3.A.1,LacI,GH16,GH3,GH18,1.E.19,HTH_5,3.A.3,9.B.105	beta-glucan	beta-glucan 	2019	degradation
PUL0407	4.A.3,GH1,4.A.3	lactose	mono/di/trisaccharide	1997	degradation
PUL0408	GH26,GH130,2.A.2	beta-mannan	beta-mannan	2014	degradation
PUL0409	SIS|CBS,8.A.4,1.B.18,9.A.41,9.A.41,GT38,3.A.1,3.A.1	polysialic acid	-	2011	 biosynthesis 
PUL0410	2.A.1,GntR	sialic acid	mono/di/trisaccharide	2011	degradation
